business_category_name|business_category_name_ru|business_category_description|meta_status
beauty and personal care|Красота и Уход|beauty and personal care|active
casual use|Прочее|casual use|active
charities, education and membership|Благотворительность, Образование|charities, education and membership|active
food and drink|Общественное питание|food and drink|active
health care and fitness|Здоровье и Фитнес|health care and fitness|active
home and repair|Жилищно-коммунальное хозяйство|home and repair|active
leisure and entertainment|Рекреационные услуги|leisure and entertainment|active
professional services|Профессиональные услуги|professional services|active
retail|Розничная Торговля|retail|active
transportation|Транспортация|transportation|active
