cuisine_name|meta_status
jordanian|active
middle eastern|active
arabic|active
healthy|active
pizza|active
indian|active
sushi|active
pasta|active
curry|active
sandwiches|active
italian|active
japanese|active
biryani|active
vegetarian|active
seafood|active
smoothies|active
bowls|active
salad|active
breakfast|active
burgers|active
egyptian|active
chinese|active
grills|active
soup|active
fast food|active
chicken|active
asian|active
south indian|active
cafe|active
desserts|active
lebanese|active
street food|active
bubble tea|active
juices|active
beverages|active
american|active
shawarma|active
cakes|active
wraps|active
mandi|active
emirati|active
thai|active
yemeni|active
coffee|active
bakery|active
vegan|active
iranian|active
kebab|active
international|active
manaqeesh|active
falafel|active
noodles|active
north indian|active
fish & chips|active
pastries|active
afghani|active
bbq|active
pancakes|active
pakistani|active
ramen|active
fried chicken|active
filipino|active
indonesian|active
poke|active
mexican|active
turkish|active
mediterranean|active
saudi|active
tea|active
snacks|active
moroccan|active
korean|active
tacos|active
koshary|active
pies|active
russian|active
vietnamese|active
waffles|active
ice cream|active
wings|active
burrito|active
hot dogs|active
sliders|active
milkshakes|active
foul|active
french|active
palestinian|active
cakes and desserts|active
pastries & sweets|active
european|active
mezze|active
steaks|active
arabic sweets|active
greek|active
african|active
keto|active
doner|active
acai|active
donuts|active
continental|active
dumplings|active
charity|active
cafeteria|active
gelato|active
frozen yogurt|active
dim sum|active
syrian|active
specialty store|active
portuguese|active
brazilian|active
bagel|active
saj|active
latin american|active
tunisian|active
gluten free|active
bread & bakery|active
crepes|active
british|active
german|active
singaporean|active
mongolian|active
bakery and cakes|active
flowers|active
optical|active
cosmetics|active
nuts & dried fruit|active
chocolate|active
fresh meat & fish|active
nutrition|active
organic|active
argentinian|active
churros|active
toys|active
roastery|active
coffee & tea|active
grocery|active
convenience store|active
supermarket|active
home essentials|active
fruits and vegetables|active
