feature_name|feature_description|merchant_default_p|service_id|meta_status
card-payment|card-payment feature|1|None|active
crypto-payment|crypto-payment feature|0|None|active
inperson-payment|inperson-payment feature|0|None|active
apple-pay|apple-pay feature|1|None|active
google-pay|google-pay feature|1|None|active
tipping|tipping feature|0|None|active
show-tax|tax feature|0|None|active
split-bill|split bill feature|0|None|active
email-receipts|email receipts feature|0|None|active
myapp|myapp feature|0|7|active
order-panel|order panel|0|None|active
call-staff|call-staff|0|None|active
hide-labelling|hide-labelling|0|None|active
iblinkpos|iblinkpos|0|4|active
facility_session|facility_session|0|None|active
inventory-management|inventory-management|0|27|active
loyalty-program|loyalty-program|0|None|active
supplyblox-lite|supplyblox-lite|0|27|active
kitchen-display-system|kitchen-display-system|0|4|active
financials|financials|0|37|active
supplyblox-full|supplyblox-full|0|30|active
departments|departments|0|None|active
item-availability|item-availability|0|4|active
inventory-tracking|inventory-tracking|0|27|active
ai-recommendation|ai-recommendation|0|None|active
is-store-active|is-store-active|0|1|active
menu-ingestion|menu-ingestion|0|None|active
menu-management-v2|menu-management-v2|0|2|active
hide-service-charge|hide-service-charge|0|None|active
nutritional-information|nutritional-information|0|None|active
item-subcategory|item-subcategory|0|None|active
marketplace-integration|marketplace-integration|0|1|active
basic-reporting|basic-reporting|1|3|active
advanced-reporting|advanced-reporting|0|6|active
myapp-loyalty-program|myapp-loyalty-program addon|0|8|active
iblinkmarketplace|iblinkmarketplace|0|10|active
mypulse|mypulse|0|13|active
neighbourhood-pulse|neighbourhood-pulse|0|20|active
menu-management|menu-management|1|2|active
