item_code|brand_id|merchant_id|item_category_id|item_type|offer_p|not_purchasable_p|display_name_en|display_name_ar|item_description_en|item_description_ar|default_price|currency_id|item_subcategory_id|meta_status
bbd_41823|1|2|1|standard-menu-item|0|0|burger & brisket duo|Burger & Brisket Duo|fresh brioche bun, double beef patty, double cheese, lollo bionda, some diced red onion, little mustard, our special sauce, and smok'd brisket carnitas on top.|Fresh brioche bun, double beef patty, double cheese, lollo bionda, some diced red onion, little mustard, our special sauce, and smok'd brisket carnitas on top.|47.00|1|1|active
bbd_92365|1|2|1|standard-menu-item|0|0|burger & bacon duo|Burger & Bacon Duo|fresh brioche bun, double beef patty, double cheese, dill pickles, smok'd bacon and fried onion ring on top, with little mustard and some of our homemade smok'd hickory sauce.|Fresh brioche bun, double beef patty, double cheese, dill pickles, smok'd bacon and fried onion ring on top, with little mustard and some of our homemade smok'd hickory sauce.|45.00|1|1|active
bpd_17523|1|2|1|standard-menu-item|0|0|burger & pastrami duo|Burger & Pastrami Duo|fresh brioche bun, double beef patty, double cheese, some tomato, lollo bionda, a little red onion, mustard, sweet relish, crowned with smok'd pastrami.|Fresh brioche bun, double beef patty, double cheese, some tomato, lollo bionda, a little red onion, mustard, sweet relish, crowned with smok'd Pastrami.|49.00|1|1|active
fbs_00250|1|2|2|standard-menu-item|0|0|famous brisket sandwich|Famous Brisket Sandwich|the famous one and only mattar farm brisket sandwich. now better than ever! smok'd brisket with mixed cabbage, carrot, little onion pickles, dill pickles and bbq creamy sauce|The famous one and only Mattar Farm brisket sandwich. Now better than ever! Smok'd brisket with mixed cabbage, carrot, little onion pickles, dill pickles and BBQ Creamy Sauce|38.00|1|1|active
bgc_15305|1|2|2|standard-menu-item|0|0|brisket grilled cheese|Brisket Grilled Cheese|smok'd brisket, a mix of cheddar cheese in toasted fresh bread.|Smok'd brisket, a mix of cheddar cheese in toasted fresh bread.|39.00|1|1|active
cs_10331|1|2|2|standard-menu-item|0|0|chicken sando|Chicken Sando|hand breaded chicken, lollo bionda lettuce, tomatoes, some dill pickles, unsweetened coleslaw, some sriracha mayo in a toasted fresh brioche bun.|Hand breaded chicken, lollo bionda lettuce, tomatoes, some dill pickles, unsweetened coleslaw, some sriracha mayo in a toasted fresh brioche bun.|34.00|1|1|active
dp_07231|1|2|2|standard-menu-item|0|0|da pastrami|Da Pastrami|freshly smoked pastrami, a little mustard and dill pickle.|Freshly smoked Pastrami, a little mustard and dill pickle.|39.00|1|1|active
ps_52169|1|2|2|standard-menu-item|0|0|pastrami sando|Pastrami Sando|a generous portion of freshly smok'd pastrami, lollo bionda, tomatoes, with a little house mustard and some chipotle mayo.|A generous portion of freshly smok'd pastrami, lollo bionda, tomatoes, with a little house mustard and some chipotle mayo.|39.00|1|1|active
oc_94465|1|2|3|standard-menu-item|0|0|original cheeseburger|Original Cheeseburger|fresh brioche bun, double beef patty, double cheese, lollo bionda, tomato slices, dill pickle and our house burger sauce.|Fresh brioche bun, double beef patty, double cheese, lollo bionda, tomato slices, dill pickle and our house burger sauce.|36.00|1|1|active
'b_38930|1|2|3|standard-menu-item|0|0|'project' burger|'Project' Burger|fresh brioche bun, double beef patty, double cheese, smok'd chorizo, a little hickory sauce on top, dill pickle and our house burger sauce.|Fresh brioche bun, double beef patty, double cheese, smok'd chorizo, a little hickory sauce on top, dill pickle and our house burger sauce.|42.00|1|1|active
