item_category_id|branch_id|external_item_category_id|sequence_nr|display_category_name_en|display_category_name_ar|item_category_description_en|item_category_description_ar|excluded_p|meta_status
1|7|sd_234843|1|smokey duos|SMOKEY DUOS|None|None|0|active
2|7|o_566016|2|originals|ORIGINALS|None|None|0|active
3|7|tb_371053|3|the burgers|THE BURGERS|None|None|0|active
4|7|c_562891|4|combos|COMBOS|None|None|0|active
5|7|sw_973261|5|smoked wings|SMOKED WINGS|None|None|0|active
6|7|fw_561832|6|farm wraps|FARM WRAPS|None|None|0|active
7|7|p_409046|7|platters|PLATTERS|None|None|0|active
8|7|s_306866|8|sides|SIDES|None|None|0|active
9|7|s_338720|9|sauces/extras|SAUCES/EXTRAS|None|None|0|active
10|7|d_515144|10|drinks|DRINKS|None|None|0|active
