modifier_choice_id|branch_id|external_modifier_choice_id|sequence_nr|display_choice_name_en|display_choice_name_ar|modifier_choice_description_en|modifier_choice_description_ar|specific_price|currency_id|default_quantity|max_choice_count|min_choice_count|count_type|excluded_p|meta_status
1|7|fc_467412|1|fries & coke|Fries & Coke|fries & coke|Fries & Coke|16.00|1|0|1|0|multiple|0|active
2|7|fcl_413546|2|fries & coke light|Fries & Coke Light|fries & coke light|Fries & Coke Light|16.00|1|0|1|0|single|0|active
3|7|fs_754631|3|fries & sprite|Fries & Sprite|fries & sprite|Fries & Sprite|16.00|1|0|1|0|single|0|active
4|7|fsz_337362|4|fries & sprite zero|Fries & Sprite Zero|fries & sprite zero|Fries & Sprite Zero|16.00|1|0|1|0|single|0|active
5|7|ff_763869|5|fries & fanta|Fries & Fanta|fries & fanta|Fries & Fanta|16.00|1|0|1|0|single|0|active
6|7|fcz_442419|6|fries & coke zero|Fries & Coke Zero|fries & coke zero|Fries & Coke Zero|16.00|1|0|1|0|single|0|active
7|7|fa_681692|7|fries & arwa|Fries & Arwa|fries & arwa|Fries & Arwa|15.00|1|0|1|0|single|0|active
8|7|no_011080|8|no onions|No onions|no onions|No onions|0.00|1|0|1|0|single|0|active
9|7|ns_342838|9|no sauce|No sauce|no sauce|No sauce|0.00|1|0|1|0|single|0|active
10|7|nt_130268|10|no tomatoes|No tomatoes|no tomatoes|No tomatoes|0.00|1|0|1|0|single|0|active
11|7|np_544779|11|no pickles|No pickles|no pickles|No pickles|0.00|1|0|1|0|single|0|active
12|7|nl_937613|12|no lettuce|No lettuce|no lettuce|No lettuce|0.00|1|0|1|0|single|0|active
13|7|nc_551419|13|no cheese|No cheese|no cheese|No cheese|0.00|1|0|1|0|single|0|active
14|7|nm_537461|14|no mustard|No mustard|no mustard|No mustard|0.00|1|0|1|0|single|0|active
15|7|nc_371377|15|no cabbage|No cabbage|no cabbage|No cabbage|0.00|1|0|1|0|single|0|active
16|7|fc_133641|16|fries & coke|Fries & Coke|fries & coke|Fries & Coke|16.00|1|0|1|0|single|0|active
17|7|fcl_624746|17|fries & coke light|Fries & Coke Light|fries & coke light|Fries & Coke Light|16.00|1|0|1|0|single|0|active
18|7|fs_545440|18|fries & sprite|Fries & Sprite|fries & sprite|Fries & Sprite|16.00|1|0|1|0|single|0|active
19|7|fsz_914854|19|fries & sprite zero|Fries & Sprite Zero|fries & sprite zero|Fries & Sprite Zero|16.00|1|0|1|0|single|0|active
20|7|ff_747518|20|fries & fanta|Fries & Fanta|fries & fanta|Fries & Fanta|16.00|1|0|1|0|single|0|active
21|7|fcz_897259|21|fries & coke zero|Fries & Coke Zero|fries & coke zero|Fries & Coke Zero|16.00|1|0|1|0|single|0|active
22|7|fa_703986|22|fries & arwa|Fries & Arwa|fries & arwa|Fries & Arwa|15.00|1|0|1|0|single|0|active
23|7|no_113630|23|no onions|No onions|no onions|No onions|0.00|1|0|1|0|single|0|active
24|7|ns_496586|24|no sauce|No sauce|no sauce|No sauce|0.00|1|0|1|0|single|0|active
25|7|nt_666292|25|no tomatoes|No tomatoes|no tomatoes|No tomatoes|0.00|1|0|1|0|single|0|active
26|7|np_718478|26|no pickles|No pickles|no pickles|No pickles|0.00|1|0|1|0|single|0|active
27|7|nl_154214|27|no lettuce|No lettuce|no lettuce|No lettuce|0.00|1|0|1|0|single|0|active
28|7|nc_518999|28|no cheese|No cheese|no cheese|No cheese|0.00|1|0|1|0|single|0|active
29|7|nm_255383|29|no mustard|No mustard|no mustard|No mustard|0.00|1|0|1|0|single|0|active
30|7|nc_815704|30|no cabbage|No cabbage|no cabbage|No cabbage|0.00|1|0|1|0|single|0|active
31|7|fc_755011|31|fries & coke|Fries & Coke|fries & coke|Fries & Coke|16.00|1|0|1|0|single|0|active
32|7|fcl_268242|32|fries & coke light|Fries & Coke Light|fries & coke light|Fries & Coke Light|16.00|1|0|1|0|single|0|active
33|7|fs_991697|33|fries & sprite|Fries & Sprite|fries & sprite|Fries & Sprite|16.00|1|0|1|0|single|0|active
34|7|fsz_077632|34|fries & sprite zero|Fries & Sprite Zero|fries & sprite zero|Fries & Sprite Zero|16.00|1|0|1|0|single|0|active
35|7|ff_976758|35|fries & fanta|Fries & Fanta|fries & fanta|Fries & Fanta|16.00|1|0|1|0|single|0|active
