auth_status|auth_code|message|meta_status
A|None|Authorised|active
H|None|Authorised, but placed on hold. Manual inspection required|active
E|01|Invalid request|active
E|02|Transaction cost or currency not supplied|active
E|03|Cart ID not set|active
E|04|Invalid store ID|active
E|05|Transaction cost or currency not valid|active
E|06|Invalid transaction mode|active
E|07|Card expiry not supplied|active
E|10|Card number not supplied|active
E|11|Invalid card number|active
E|12|Card expired|active
E|14|Card type mismatch|active
E|15|Invalid card security code|active
E|16|Card security code not supplied|active
E|17|Name not valid/not supplied|active
E|18|Address not valid/not supplied|active
E|19|Country not valid/not supplied|active
E|20|IP address not valid/not supplied|active
E|21|Card/Currency combination not supported|active
E|22|Invalid transaction reference|active
E|23|Amount differs from original|active
E|24|Currency differs from original|active
E|25|Original transaction not authorized|active
E|26|Original transaction already voided|active
E|27|Original transaction not a sale|active
E|28|Original transaction not a refund|active
E|29|Amount greater than available balance|active
E|30|Card details differ from original|active
D|31|Not authorized|active
D|32|Original transaction cannot be voided|active
C|33|Transaction cancelled|active
D|34|No response|active
E|35|Unable to refund|active
E|36|Previous transaction is on hold|active
D|37|Blocked by acquirer|active
E|38|Invalid expiry date|active
E|39|Invalid transaction class|active
E|40|Invalid transaction type|active
D|41|Insufficient funds|active
D|42|Card security code mismatch|active
E|43|Email not valid/not supplied|active
E|44|Phone number not valid/not supplied|active
E|45|Transaction mode differs from original|active
D|46|3DSecure authentication not available for this card|active
D|47|3DSecure authentication rejected|active
